energy,date
79606,11/19/2019
77325,11/20/2019
76177,11/21/2019
80946,11/22/2019
79418,11/23/2019
80080,11/24/2019
91957,11/25/2019
97149,11/26/2019
87440,11/27/2019
89200,11/28/2019
88068,11/29/2019
82609,11/30/2019
109564,12/1/2019
109221,12/2/2019
103721,12/3/2019
103723,12/4/2019
106993,12/5/2019
106388,12/6/2019
104998,12/7/2019
106891,12/8/2019
106972,12/9/2019
107121,12/10/2019
108180,12/11/2019
108323,12/12/2019
101761,12/13/2019
108990,12/14/2019
109827,12/15/2019
112277,12/16/2019
114452,12/17/2019
113831,12/18/2019
113827,12/19/2019
113824,12/20/2019
115077,12/21/2019
112656,12/22/2019
114603,12/23/2019
113555,12/24/2019
107479,12/25/2019
114227,12/26/2019
108766,12/27/2019
110604,12/28/2019
110719,12/29/2019
108576,12/30/2019
110279,12/31/2019
96977,1/1/2020
93074,1/2/2020
119699,1/3/2020
102124,1/4/2020
101952,1/5/2020
101512,1/6/2020
100944,1/7/2020
108960,1/8/2020
112988,1/9/2020
104172,1/10/2020
106057,1/11/2020
97620,1/12/2020
97738,1/13/2020
97040,1/14/2020
112533,1/15/2020
125153,1/16/2020
124036,1/17/2020
139520,1/18/2020
147939,1/19/2020
153262,1/20/2020
146390,1/21/2020
159886,1/22/2020
159969,1/23/2020
131181,1/24/2020
130401,1/25/2020
117938,1/26/2020
109602,1/27/2020
95297,1/28/2020
105145,1/29/2020
96092,1/30/2020
132597,1/31/2020
165793,2/1/2020
180909,2/2/2020
198960,2/3/2020
205773,2/4/2020
210757,2/5/2020
203013,2/6/2020
133753,2/7/2020
121197,2/8/2020
144482,2/9/2020
183447,2/10/2020
153826,2/11/2020
142185,2/12/2020
132285,2/13/2020
129487,2/14/2020
127052,2/15/2020
125165,2/16/2020
138259,2/17/2020
140427,2/18/2020
122011,2/19/2020
142531,2/20/2020
148551,2/21/2020
165436,2/22/2020
153107,2/23/2020
171563,2/24/2020
168991,2/25/2020
161911,2/26/2020
168231,2/27/2020
182168,2/28/2020
174501,2/29/2020
168009,3/1/2020
166835,3/2/2020
172241,3/3/2020
166049,3/4/2020
168823,3/5/2020
173827,3/6/2020
152003,3/7/2020
135914,3/8/2020
159317,3/9/2020
165080,3/10/2020
158269,3/11/2020
154643,3/12/2020
145305,3/13/2020
135643,3/14/2020
133573,3/15/2020
137613,3/16/2020
109670,3/17/2020
151736,3/18/2020
122907,3/19/2020
112544,3/20/2020
116132,3/21/2020
118289,3/22/2020
111910,3/23/2020
109379,3/24/2020
115188,3/25/2020
114684,3/26/2020
120600,3/27/2020
121515,3/28/2020
116222,3/29/2020
105145,3/30/2020
73706,3/31/2020
74819,4/1/2020
78194,4/2/2020
81936,4/3/2020
77424,4/4/2020
80250,4/5/2020
72058,4/6/2020
79864,4/7/2020
82120,4/8/2020
97074,4/9/2020
103842,4/10/2020
97479,4/11/2020
118452,4/12/2020
119259,4/13/2020
110607,4/14/2020
128687,4/15/2020
143682,4/16/2020
158606,4/17/2020
170189,4/18/2020
151980,4/19/2020
165368,4/20/2020
168666,4/21/2020
132068,4/22/2020
76718,4/23/2020
73557,4/24/2020
74698,4/25/2020
81573,4/26/2020
71399,4/27/2020
70347,4/28/2020
70625,4/29/2020
76769,4/30/2020
73298,5/1/2020
71330,5/2/2020
72146,5/3/2020
74598,5/4/2020
76058,5/5/2020
77037,5/6/2020
71731,5/7/2020
76476,5/8/2020
75559,5/9/2020
82114,5/10/2020
67608,5/11/2020
80976,5/12/2020
83780,5/13/2020
74122,5/14/2020
84681,5/15/2020
85088,5/16/2020
83726,5/17/2020
80405,5/18/2020
86626,5/19/2020
79391,5/20/2020
86439,5/21/2020
83766,5/22/2020
76575,5/23/2020
76827,5/24/2020
75292,5/25/2020
83585,5/26/2020
74618,5/27/2020
92438,5/28/2020
94719,5/29/2020
96578,5/30/2020
84931,5/31/2020
82159,6/1/2020
82183,6/2/2020
83602,6/3/2020
80576,6/4/2020
79039,6/5/2020
80625,6/6/2020
82058,6/7/2020
85857,6/8/2020
88140,6/9/2020
83195,6/10/2020
77182,6/11/2020
80769,6/12/2020
81325,6/13/2020
79223,6/14/2020
74465,6/15/2020
71642,6/16/2020
72647,6/17/2020
63528,6/18/2020
80793,6/19/2020
77856,6/20/2020
72095,6/21/2020
74278,6/22/2020
78295,6/23/2020
80738,6/24/2020
77085,6/25/2020
75059,6/26/2020
75066,6/27/2020
71743,6/28/2020
75205,6/29/2020
78667,6/30/2020
